Scrip,S.N.,Code,Address,District,Branch Name,Open Date,Bank Type
GBLBS,1,14001001,"6, Mechinagar Municipality",Jhapa,Branch Office Kakarvitta,04/08/2012,MF
GBLBS,2,14001002,"10, Mechinagar Municipality",Jhapa,Branch Office Dhulabari,07/08/2012,MF
GBLBS,3,14001003,"5, Birtamod Municipality",Jhapa,Branch Office Birtamod,14/08/2012,MF
GBLBS,4,14001004,"10, Bhadrapur Municipality",Jhapa,Branch Office Chandragadhi,14/04/1999,MF
GBLBS,5,14001005,"8, Shivasatakshi Municipality",Jhapa,Branch Office Jhiljhile,07/08/2012,MF
GBLBS,6,14001006,"6, Kachanakawal Rural Municipality",Jhapa,Branch Office Baniyani,08/08/2012,MF
GBLBS,7,14001007,"4, Damak Municipality",Jhapa,Branch Office Damak,08/08/2012,MF
GBLBS,8,14001008,"3, Gauradaha Municipality",Jhapa,Branch Office Gwaldubba,15/11/1996,MF
GBLBS,9,14001009,"1, Buddhashanti Rural Municipality",Jhapa,Branch Office Budhabare,22/12/1993,MF
GBLBS,10,14001010,"5, Kanepokhari Rural Municipality",Morang,Branch Office Keraun,13/12/1994,MF
GBLBS,11,14001011,"9, Belbari Municipality",Morang,Branch Office Dangihat,13/04/1996,MF
GBLBS,12,14001012,"12, Sundarharaicha Municipality",Morang,Branch Office Salakpur,06/04/1994,MF
GBLBS,13,14001013,"6, Gramthan Rural Municipality",Morang,Branch Office Banigama,06/04/1993,MF
GBLBS,14,14001014,"2, Gramthan Rural Municipality",Morang,Branch Office Jhorahat,10/07/1993,MF
GBLBS,15,14001015,"9, Biratnagar Metropolitian City",Morang,Branch Office Biratnagar,13/10/1998,MF
GBLBS,16,14001016,"3, Katahari Rural Municipality",Morang,Branch Office Katahari,12/07/1994,MF
GBLBS,17,14001017,"4, Dhanapalthan Rural Municipality",Morang,Branch Office Karsiya,25/08/1993,MF
GBLBS,18,14001018,"7, Rangeli Municipality",Morang,Branch Office Rangeli,13/07/1993,MF
GBLBS,19,14001019,"1, Budhiganga Rural Municipality",Morang,Branch Office Tanki,28/11/1998,MF
GBLBS,20,14001020,"6, Itahari Sub-Metropolitian City",Sunsari,Branch Office Itahari,27/09/2005,MF
GBLBS,21,14001021,"12, Dharan Sub-Metropolitian City",Sunsari,Branch Office Dharan,11/04/2006,MF
GBLBS,22,14001022,"17, Itahari Sub-Metropolitian City",Sunsari,Branch Office Jhumka,15/08/1993,MF
GBLBS,23,14001023,"3, Inaruwa Municipality",Sunsari,Branch Office Inaruwa,12/09/1994,MF
GBLBS,24,14001024,"2, Gadhi Rural Municipality",Sunsari,Branch Office Aurawani,24/04/1993,MF
GBLBS,25,14001025,"5, Duhabi Municipality",Sunsari,Branch Office Duhabi,05/09/1994,MF
GBLBS,26,14001026,"6, Barju Rural Municipality",Sunsari,Branch Office Chimdi,29/03/1994,MF
GBLBS,27,14001027,"4, Kanchanrup Municipality",Saptari,Branch Office Kanchanpur,12/08/1993,MF
GBLBS,28,14001028,"5, Rajbiraj Municipality",Saptari,Branch Office Rajbiraj,12/09/1994,MF
GBLBS,29,14001029,"6, Barahachhetra Municipality",Sunsari,Branch Office Chakraghatti,26/09/1994,MF
GBLBS,30,14001030,"9, Kankai Municipality",Jhapa,Branch Office Ghailadubba,22/09/1994,MF
GBLBS,31,14001031,"1, Harinagar Rural Municipality",Sunsari,Branch Office Harinagara,21/11/1994,MF
GBLBS,32,14001032,"5, Urlabari Municipality",Morang,Branch Office Urlabari,22/08/2012,MF
GBLBS,33,14001033,"6, Ratuwamai Municipality",Morang,Branch Office Jhurkia,01/01/2014,MF
GBLBS,34,14001034,"7, Khadak Municipality",Saptari,Branch Office Kalyanpur,16/03/2014,MF
GBLBS,35,14001035,"8, Lahan Municipality",Siraha,Branch Office Lahan,25/09/1994,MF
GBLBS,36,14001036,"4, Golbazar Municipality",Siraha,Branch Office Golbazar,10/02/1994,MF
GBLBS,37,14001037,"8, Sukhipur Municipality",Siraha,Branch Office Sukhipur,06/03/2014,MF
GBLBS,38,14001038,"6, Mirchaiya Municipality",Siraha,Branch Office Mirchaiya,15/08/1994,MF
GBLBS,39,14001039,"6, Chaudandigadhi Municipality",Udayapur,Branch Office Beltar,16/07/2014,MF
GBLBS,40,14001040,"4, Phungling Municipality",Taplejung,Branch Office Phungling,30/03/2015,MF
GBLBS,41,14001041,"7, Bhojpur Municipality",Bhojpur,Branch Office Bhojpur,18/03/2015,MF
GBLBS,42,14001042,"4, Shadananda Municipality",Bhojpur,Branch Office Dingala,18/03/2015,MF
GBLBS,43,14001043,"9, Biratnagar Metropolitian City",Morang,Province No.1 Office,06/09/1989,MF
GBLBS,44,14001044,"9, Janakpurdham Sub-Metropolitian City",Dhanusa,Madhesh Province Office,18/03/1996,MF
GBLBS,45,14001045,"2, Aurahi Rural Municipality",Dhanusa,"Branch Office Deuri, Parwaha",03/09/1996,MF
GBLBS,46,14001046,"3, Dhanushadham Municipality",Dhanusa,"Branch Office Dhanusa, Gobindapur",21/10/1998,MF
GBLBS,47,14001047,"8, Mithila Bihari Municipality",Dhanusa,Branch Office Tarapatti,14/10/1998,MF
GBLBS,48,14001048,"3, Shahidnagar Municipality",Dhanusa,Branch Office Yadukuwa,12/03/1997,MF
GBLBS,49,14001049,"5, Chhireshwornath Municipality",Dhanusa,Branch Office Mahendranagar (Dhanusha),23/09/1997,MF
GBLBS,50,14001050,"20, Janakpurdham Sub-Metropolitian City",Dhanusa,"Branch Office Devpura, Rupaitha",03/07/1996,MF
GBLBS,51,14001051,"5, Jaleshwor Municipality",Mahottari,Branch Office Jaleshwor,13/08/1997,MF
GBLBS,52,14001052,"5, Loharpatti Municipality",Mahottari,Branch Office Loharpatti,14/10/1998,MF
GBLBS,53,14001053,"3, Pipara Rural Municipality",Mahottari,Branch Office Pipara,18/09/1998,MF
GBLBS,54,14001054,"1, Manara Shisawa Municipality",Mahottari,Branch Office Manara,06/03/2002,MF
